,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bauchi,10.5,10.0,72.97,88,96,3.18,NG,1597791092
1,Mahébourg,-20.41,57.7,71.6,73,40,14.99,MU,1597791093
2,Elmira,42.09,-76.81,75.2,38,40,4.7,US,1597791094
3,Hobart,-42.88,147.33,44.01,87,75,9.17,AU,1597790825
4,Sobolevo,54.43,31.9,59.32,82,99,8.39,RU,1597791097
5,Kaitangata,-46.28,169.85,53.01,70,100,1.97,NZ,1597791098
6,Castro,-24.79,-50.01,60.4,93,100,9.42,BR,1597791099
7,Asău,46.43,26.4,62.01,84,12,4.32,RO,1597791100
8,Hermanus,-34.42,19.23,42.01,93,65,1.99,ZA,1597791102
9,Bredasdorp,-34.53,20.04,48.2,76,70,5.82,ZA,1597791103
10,Mayo,38.89,-76.51,84.2,45,20,5.82,US,1597791104
11,Bocas del Toro,9.33,-82.25,68.0,97,100,3.0,PA,1597791105
12,Tiksi,71.69,128.87,39.31,78,95,13.06,RU,1597791106
13,New Norfolk,-42.78,147.06,42.01,85,33,3.56,AU,1597791107
14,Tuktoyaktuk,69.45,-133.04,62.6,55,20,12.75,CA,1597791108
15,Kimberley,-28.73,24.76,32.0,82,0,4.7,ZA,1597791110
16,Thompson,55.74,-97.86,69.8,60,90,3.36,CA,1597791111
17,Geraldton,-28.77,114.6,48.2,93,58,9.17,AU,1597791112
18,Jamestown,42.1,-79.24,69.8,56,1,10.29,US,1597790929
19,Kapoeta,4.77,33.59,72.36,83,80,1.63,SS,1597791114
20,Provideniya,64.38,-173.3,53.6,66,90,8.95,RU,1597791115
21,Busselton,-33.65,115.33,39.99,78,15,3.27,AU,1597790997
22,Zhuhai,22.28,113.57,80.6,100,75,61.07,CN,1597791118
23,Karratha,-20.74,116.85,63.68,38,57,13.58,AU,1597791040
24,Sitka,57.05,-135.33,57.2,82,75,10.29,US,1597790886
25,Laas,46.62,10.7,55.4,93,75,3.36,IT,1597791121
26,Mataura,-46.19,168.86,50.14,74,100,5.59,NZ,1597791122
27,Rikitea,-23.12,-134.97,71.96,79,0,10.29,PF,1597791123
28,Ngunguru,-35.62,174.5,60.01,58,100,1.01,NZ,1597791004
29,Selje,62.05,5.35,64.0,86,1,2.44,NO,1597791126
30,Chui,-33.7,-53.46,51.84,92,0,3.24,UY,1597791127
31,Carnarvon,-24.87,113.63,55.4,87,22,10.29,AU,1597791128
32,Praxédis Guerrero,31.37,-106.02,96.8,20,40,5.82,MX,1597791129
33,Dutlwe,-23.98,23.9,37.36,61,0,10.51,BW,1597791130
34,Srednekolymsk,67.45,153.68,53.35,50,74,1.05,RU,1597790952
35,Katsuura,35.13,140.3,84.0,74,98,3.0,JP,1597791132
36,Kamenka,51.32,42.77,60.01,77,6,5.79,RU,1597791133
37,Luanda,-8.84,13.23,69.8,83,75,3.36,AO,1597790839
38,Yangi Marg`ilon,40.43,71.72,66.2,68,45,4.7,UZ,1597791136
39,Churapcha,62.0,132.43,54.5,43,29,7.65,RU,1597791137
40,Yārāda,17.65,83.27,80.6,94,90,3.36,IN,1597791138
41,Avarua,-21.21,-159.78,75.2,73,74,18.34,CK,1597791080
42,Kurakh,41.58,47.78,53.74,68,4,5.68,RU,1597791140
43,Hvide Sande,56.0,8.13,59.0,77,100,7.92,DK,1597791141
44,Puerto Ayora,-0.74,-90.35,68.0,92,89,7.0,EC,1597791142
45,Vaini,-21.2,-175.2,73.4,94,90,11.41,TO,1597791144
46,Pisco,-13.7,-76.22,64.4,77,37,18.34,PE,1597791145
47,Ponta do Sol,32.67,-17.1,71.6,73,20,1.45,PT,1597791146
48,Salalah,17.02,54.09,77.0,100,90,3.36,OM,1597791147
49,Cumana,10.46,-64.18,81.55,77,98,0.31,VE,1597791148
50,Sohāgpur,22.7,78.2,75.67,92,100,10.8,IN,1597791149
51,Komarikhinskiy,58.1,57.12,48.2,100,75,11.18,RU,1597791150
52,Bubaque,11.28,-15.83,80.55,86,100,14.67,GW,1597791151
53,Port Elizabeth,-33.92,25.57,51.8,87,75,12.75,ZA,1597791152
54,Isangel,-19.55,169.27,75.2,69,20,3.36,VU,1597791154
55,Lompoc,34.64,-120.46,84.99,54,1,11.41,US,1597790995
56,Longyearbyen,78.22,15.64,42.8,75,75,19.46,SJ,1597790880
57,Port Alfred,-33.59,26.89,54.73,69,100,31.47,ZA,1597791157
58,Albany,42.6,-73.97,75.0,45,8,7.16,US,1597791085
59,Vestmanna,62.16,-7.17,50.0,87,53,1.12,FO,1597790957
60,Kapaa,22.08,-159.32,86.0,62,20,13.87,US,1597790902
61,Hong Kong,22.29,114.16,80.6,78,90,32.21,HK,1597791161
62,Norman Wells,65.28,-126.83,60.8,67,75,6.93,CA,1597791130
63,Atuona,-9.8,-139.03,78.57,76,1,21.14,PF,1597791164
64,Chara,56.91,118.26,54.19,50,11,0.87,RU,1597791165
65,Hithadhoo,-0.6,73.08,83.82,75,8,10.0,MV,1597791166
66,Shenkursk,62.11,42.9,39.74,93,0,5.46,RU,1597791167
67,Ken Caryl,39.58,-105.12,93.99,21,90,5.79,US,1597791062
68,Pacifica,37.61,-122.49,80.6,64,1,17.22,US,1597791170
69,Lüderitz,-26.65,15.16,55.33,51,0,20.07,NA,1597791171
70,Kavieng,-2.57,150.8,83.35,73,1,8.9,PG,1597791172
71,Ushuaia,-54.8,-68.3,32.0,91,40,24.16,AR,1597791037
72,Punta Arenas,-53.15,-70.92,33.8,64,40,14.99,CL,1597791005
73,Harper,4.38,-7.72,75.07,87,66,9.26,LR,1597791176
74,Bambous Virieux,-20.34,57.76,72.0,73,40,14.99,MU,1597790922
75,Lebu,-37.62,-73.65,46.8,75,51,12.68,CL,1597791178
76,Puerto del Rosario,28.5,-13.86,75.2,69,0,14.99,ES,1597791179
77,Upernavik,72.79,-56.15,46.63,68,100,14.45,GL,1597791180
78,Pevek,69.7,170.31,41.43,81,84,10.4,RU,1597791181
79,Qaanaaq,77.48,-69.36,43.97,85,100,9.37,GL,1597791182
80,Auki,-8.77,160.7,85.33,65,82,2.01,SB,1597791181
81,Torbay,47.67,-52.73,57.0,93,90,25.28,CA,1597791185
